PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003464,0.082,Nightingale,Triglycerides in LDL,0.98 (0.97 0.99),3.62E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003532,0.045,Nightingale,Apolipoprotein A1,0.98 (0.97 0.99),3.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003419,0.134,Nightingale,Cholesteryl esters in small LDL,0.98 (0.97 0.99),4.91E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010624,0.059,RNAseq,TRBV18,1.05 (1.04 1.06),9.60E-14
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005389,0.248,RNAseq,TRAV23DV6,0.95 (0.94 0.96),4.43E-13
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005375,0.249,RNAseq,,0.95 (0.94 0.96),1.99E-12
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013693,0.025,RNAseq,,0.96 (0.94 0.97),2.44E-11
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013243,0.029,RNAseq,TRAV3,0.96 (0.95 0.97),4.85E-11
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010591,0.060,RNAseq,ZZEF1,1.05 (1.03 1.06),1.96E-10
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012867,0.032,RNAseq,CCND2,0.96 (0.95 0.97),2.75E-09
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006716,0.164,RNAseq,IER3,1.04 (1.03 1.05),2.75E-09
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012171,0.039,RNAseq,TRBV15,0.96 (0.95 0.97),5.70E-09
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011585,0.046,RNAseq,CD8B,1.04 (1.03 1.05),7.19E-09
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007041,0.151,RNAseq,SYT11,1.04 (1.03 1.05),2.62E-08
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011901,0.042,RNAseq,DTHD1,1.04 (1.03 1.05),2.90E-08
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013660,0.025,RNAseq,CD8A,1.04 (1.03 1.05),3.55E-08
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010737,0.057,RNAseq,PEAK1,1.04 (1.03 1.05),5.63E-08
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010779,0.057,RNAseq,ACE,1.04 (1.03 1.05),5.81E-08
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011853,0.043,RNAseq,TRBV6-1,0.96 (0.95 0.98),5.78E-07
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010348,0.063,RNAseq,TRBV6-5,1.04 (1.02 1.05),5.97E-07
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009865,0.072,RNAseq,TRAV17,0.97 (0.95 0.98),1.06E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010263,0.065,RNAseq,CBX7,1.04 (1.02 1.05),1.89E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006038,0.201,RNAseq,HLA-DQA2,1.03 (1.02 1.05),2.15E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014341,0.020,RNAseq,NFAT5,1.03 (1.02 1.05),4.56E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012380,0.037,RNAseq,AC007381.1,0.97 (0.96 0.98),7.14E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009289,0.084,RNAseq,AC010883.1,0.97 (0.96 0.98),7.36E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010663,0.059,RNAseq,SPRED2,1.03 (1.02 1.05),7.41E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015030,0.016,RNAseq,PRRC2A,1.03 (1.02 1.05),9.06E-06
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003680,0.611,RNAseq,,1.03 (1.02 1.04),1.02E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009198,0.085,RNAseq,TRAV12-1,1.03 (1.02 1.04),1.78E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014758,0.017,RNAseq,TRAV10,1.03 (1.02 1.05),1.88E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010014,0.069,RNAseq,LINC02245,1.03 (1.02 1.04),2.43E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015031,0.016,RNAseq,DDA1,0.97 (0.96 0.98),3.98E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010799,0.057,RNAseq,SAPCD1-AS1,1.03 (1.02 1.04),4.51E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005300,0.257,RNAseq,AF131215.6,1.03 (1.02 1.04),6.95E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015102,0.015,RNAseq,BOP1,1.03 (1.02 1.04),6.95E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012329,0.038,RNAseq,CPEB3,1.03 (1.02 1.04),6.95E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014718,0.017,RNAseq,MRC2,1.03 (1.02 1.04),7.15E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007675,0.126,RNAseq,TRAV12-2,1.03 (1.02 1.04),7.15E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004104,0.436,RNAseq,ESPN,1.03 (1.02 1.04),7.62E-05
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008814,0.094,RNAseq,UBE3C,0.97 (0.96 0.98),1.06E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015054,0.015,RNAseq,H19,1.03 (1.02 1.04),1.14E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006499,0.176,RNAseq,C4A,0.97 (0.96 0.98),1.28E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011494,0.047,RNAseq,RNF26,1.03 (1.02 1.04),1.41E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006766,0.162,RNAseq,FAM234A,1.03 (1.02 1.04),1.54E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005334,0.253,RNAseq,AL645933.4,0.97 (0.96 0.98),1.55E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005944,0.207,RNAseq,SSR1,0.97 (0.96 0.98),1.63E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010657,0.059,RNAseq,HMG20A,1.03 (1.02 1.04),1.88E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008577,0.099,RNAseq,CDC123,1.03 (1.02 1.04),1.99E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008383,0.104,RNAseq,CD160,1.03 (1.02 1.04),1.99E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008033,0.115,RNAseq,SGCB,0.97 (0.96 0.98),2.01E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009188,0.085,RNAseq,DCAF5,0.97 (0.96 0.98),2.07E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005353,0.251,RNAseq,WWP2,1.03 (1.02 1.04),2.21E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009278,0.084,RNAseq,,0.97 (0.96 0.98),2.49E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004598,0.340,RNAseq,RPAP1,0.97 (0.96 0.98),2.66E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012855,0.032,RNAseq,TRBV9,0.97 (0.96 0.98),2.90E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006215,0.191,RNAseq,PGAP3,1.03 (1.02 1.04),3.25E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011716,0.045,RNAseq,FBLN7,0.97 (0.96 0.98),3.42E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008889,0.092,RNAseq,TRAV20,1.03 (1.02 1.04),3.45E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010856,0.056,RNAseq,RIOK3,0.97 (0.96 0.98),4.37E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010826,0.056,RNAseq,TRIM10,0.97 (0.96 0.98),4.46E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005796,0.215,RNAseq,,1.03 (1.02 1.04),5.38E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007148,0.146,RNAseq,AC022400.8,1.03 (1.02 1.04),5.38E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012455,0.036,RNAseq,EIF5A2,1.03 (1.02 1.04),5.61E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003660,0.627,RNAseq,SENP6,1.03 (1.02 1.04),5.61E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006705,0.165,RNAseq,MAU2,0.97 (0.96 0.98),5.61E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006541,0.173,RNAseq,ZFYVE28,0.97 (0.96 0.99),7.15E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004213,0.410,RNAseq,,1.03 (1.01 1.04),7.37E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012741,0.033,RNAseq,GIPR,0.97 (0.96 0.99),7.54E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012628,0.034,RNAseq,RMC1,0.97 (0.96 0.99),7.75E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008270,0.107,RNAseq,ERO1B,1.03 (1.01 1.04),7.75E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012859,0.032,RNAseq,NBEAL2,1.03 (1.01 1.04),8.20E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007544,0.131,RNAseq,ANK1,1.03 (1.01 1.04),8.31E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012474,0.036,RNAseq,HNRNPH1,0.97 (0.96 0.99),8.33E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011272,0.050,RNAseq,AC007780.1,1.03 (1.01 1.04),8.46E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011618,0.046,RNAseq,MED27,1.03 (1.01 1.04),8.46E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003950,0.485,RNAseq,CHMP4B,0.97 (0.96 0.99),8.46E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007846,0.120,RNAseq,SLC39A10,0.97 (0.96 0.99),9.55E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008513,0.101,RNAseq,CEP68,1.03 (1.01 1.04),9.70E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006265,0.188,RNAseq,RBM6,0.97 (0.96 0.99),9.97E-04
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013990,0.023,RNAseq,UQCR10,1.03 (1.01 1.04),1.02E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008273,0.107,RNAseq,GRK4,1.03 (1.01 1.04),1.02E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006391,0.181,RNAseq,GTF2I,1.03 (1.01 1.04),1.02E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004743,0.317,RNAseq,ARG1,0.97 (0.96 0.99),1.02E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008402,0.104,RNAseq,TNXB,1.03 (1.01 1.04),1.02E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014726,0.017,RNAseq,PIK3C2A,0.97 (0.96 0.99),1.03E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007781,0.123,RNAseq,MAP3K13,0.97 (0.96 0.99),1.04E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009970,0.070,RNAseq,CLDN23,1.03 (1.01 1.04),1.08E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003699,0.599,RNAseq,AC009506.2,1.03 (1.01 1.04),1.24E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004994,0.287,RNAseq,TIGAR,0.97 (0.96 0.99),1.24E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009850,0.072,RNAseq,ACTG1,1.03 (1.01 1.04),1.32E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007363,0.137,RNAseq,UCKL1,0.97 (0.96 0.99),1.33E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013514,0.026,RNAseq,GZMK,1.03 (1.01 1.04),1.34E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006619,0.169,RNAseq,,1.03 (1.01 1.04),1.37E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009077,0.088,RNAseq,DDAH2,0.97 (0.96 0.99),1.47E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009758,0.074,RNAseq,ADARB1,1.03 (1.01 1.04),1.47E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003943,0.486,RNAseq,CLEC18A,0.98 (0.96 0.99),1.52E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015100,0.015,RNAseq,NDUFAF3,1.03 (1.01 1.04),1.74E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015116,0.015,RNAseq,,0.98 (0.96 0.99),1.78E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007829,0.121,RNAseq,,1.03 (1.01 1.04),2.04E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005153,0.271,RNAseq,LMF1,1.02 (1.01 1.04),2.04E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009606,0.077,RNAseq,SAE1,0.98 (0.96 0.99),2.17E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005254,0.260,RNAseq,MAN2C1,0.98 (0.96 0.99),2.19E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003708,0.594,RNAseq,HSD17B12,0.98 (0.96 0.99),2.19E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009938,0.070,RNAseq,ZBTB6,1.02 (1.01 1.04),2.52E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011283,0.050,RNAseq,CD248,1.02 (1.01 1.04),2.55E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015028,0.016,RNAseq,JUNB,0.98 (0.97 0.99),2.57E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014232,0.021,RNAseq,TRAV1-2,1.02 (1.01 1.04),2.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012510,0.036,RNAseq,KLRF1,1.02 (1.01 1.04),2.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012475,0.036,RNAseq,SCRN3,0.98 (0.96 0.99),2.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011086,0.053,RNAseq,HSPA1B,0.98 (0.96 0.99),2.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003651,0.639,RNAseq,ABO,0.98 (0.96 0.99),2.65E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009697,0.075,RNAseq,SEC22A,0.98 (0.96 0.99),2.67E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009574,0.078,RNAseq,CDKN1C,1.02 (1.01 1.04),2.67E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008188,0.109,RNAseq,DMPK,0.98 (0.96 0.99),2.82E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012951,0.031,RNAseq,MRPL4,1.02 (1.01 1.04),2.92E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009078,0.088,RNAseq,MAPRE3,0.98 (0.97 0.99),2.95E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012714,0.033,RNAseq,RABGAP1,0.98 (0.96 0.99),3.03E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011434,0.048,RNAseq,ZNF483,1.02 (1.01 1.04),3.17E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007852,0.120,RNAseq,NOS3,1.02 (1.01 1.04),4.18E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004897,0.299,RNAseq,AC018647.2,0.98 (0.97 0.99),4.23E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005071,0.279,RNAseq,GIT1,1.02 (1.01 1.04),4.83E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008517,0.101,RNAseq,BAZ2B,1.02 (1.01 1.04),4.85E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003864,0.522,RNAseq,STARD10,1.02 (1.01 1.04),4.95E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005829,0.213,RNAseq,MACF1,1.02 (1.01 1.04),5.17E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS015077,0.015,RNAseq,ACTN1,1.02 (1.01 1.04),5.31E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010725,0.058,RNAseq,RBM20,1.02 (1.01 1.04),5.42E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012768,0.033,RNAseq,HMGA1,1.02 (1.01 1.03),5.51E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010935,0.055,RNAseq,TMEM191B,1.02 (1.01 1.03),5.51E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013330,0.028,RNAseq,AP1G1,0.98 (0.97 0.99),5.67E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009706,0.075,RNAseq,DIDO1,1.02 (1.01 1.04),6.14E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006284,0.187,RNAseq,MPPED2,0.98 (0.97 0.99),6.34E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004091,0.440,RNAseq,LINC00565,0.98 (0.97 0.99),6.48E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012605,0.035,RNAseq,HSPA1A,0.98 (0.97 0.99),6.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008524,0.101,RNAseq,KLHL42,1.02 (1.01 1.04),6.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011902,0.042,RNAseq,LONRF1,0.98 (0.97 0.99),6.62E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011291,0.050,RNAseq,GMPPB,1.02 (1.01 1.03),7.33E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011784,0.044,RNAseq,TUBB,1.02 (1.01 1.04),7.33E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007486,0.133,RNAseq,EHHADH,0.98 (0.97 0.99),7.51E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010929,0.055,RNAseq,EOMES,1.02 (1.01 1.03),7.52E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013607,0.026,RNAseq,AC026347.1,0.98 (0.97 0.99),7.58E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009293,0.083,RNAseq,SLBP,0.98 (0.97 0.99),7.66E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008650,0.098,RNAseq,ATP5MC1,0.98 (0.97 0.99),7.69E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010305,0.064,RNAseq,KCNH2,0.98 (0.97 0.99),8.24E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005504,0.238,RNAseq,MRTO4,1.02 (1.01 1.03),8.52E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014393,0.020,RNAseq,FIG4,1.02 (1.01 1.03),8.61E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004293,0.390,RNAseq,CWF19L1,0.98 (0.97 0.99),8.69E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012496,0.036,RNAseq,NT5DC4,1.02 (1.01 1.03),8.78E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010972,0.054,RNAseq,FBXL20,1.02 (1.01 1.03),9.00E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011948,0.042,RNAseq,ADGRG1,0.98 (0.97 0.99),9.47E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009241,0.084,RNAseq,ZKSCAN4,1.02 (1.01 1.03),9.50E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012546,0.035,RNAseq,ABHD14A,0.98 (0.97 0.99),9.52E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004144,0.424,RNAseq,PSORS1C3,1.02 (1.01 1.03),9.78E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006941,0.154,RNAseq,RBMS1,1.02 (1.01 1.03),9.92E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013658,0.025,RNAseq,CXXC5,1.02 (1.01 1.03),9.92E-03
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011265,0.050,RNAseq,HSPA5,0.98 (0.97 0.99),1.00E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008698,0.097,RNAseq,FUZ,1.02 (1.01 1.03),1.08E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012804,0.033,RNAseq,CARS1,1.02 (1.01 1.03),1.09E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006034,0.201,RNAseq,,0.98 (0.97 0.99),1.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010692,0.058,RNAseq,IPO9,0.98 (0.97 0.99),1.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007893,0.119,RNAseq,INTS8,0.98 (0.97 0.99),1.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010883,0.055,RNAseq,ZNF664,1.02 (1.01 1.03),1.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005363,0.250,RNAseq,FAM177A1,0.98 (0.97 0.99),1.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007869,0.119,RNAseq,MEG3,0.98 (0.97 0.99),1.17E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005489,0.239,RNAseq,TRAPPC5,0.98 (0.97 0.99),1.17E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012484,0.036,RNAseq,ABCB9,0.98 (0.97 0.99),1.27E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014533,0.019,RNAseq,ZDHHC24,1.02 (1.01 1.03),1.27E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003685,0.608,RNAseq,ANPEP,1.02 (1.01 1.03),1.27E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013529,0.026,RNAseq,PRPF40A,0.98 (0.97 0.99),1.27E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005469,0.241,RNAseq,SPX,1.02 (1.01 1.03),1.27E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005610,0.228,RNAseq,LINC02193,1.02 (1.01 1.03),1.28E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007651,0.127,RNAseq,KMT5A,0.98 (0.97 0.99),1.29E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010665,0.059,RNAseq,CNEP1R1,1.02 (1.01 1.03),1.30E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004210,0.410,RNAseq,DNAJB6,1.02 (1.01 1.03),1.31E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014598,0.018,RNAseq,HMGXB4,0.98 (0.97 0.99),1.32E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004163,0.418,RNAseq,LGSN,1.02 (1.01 1.03),1.33E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014974,0.016,RNAseq,ZNF865,0.98 (0.97 0.99),1.36E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006608,0.170,RNAseq,MFHAS1,1.02 (1.01 1.03),1.37E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008082,0.113,RNAseq,NUDT5,1.02 (1.01 1.03),1.37E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011350,0.049,RNAseq,BHLHE40,0.98 (0.97 0.99),1.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011636,0.045,RNAseq,LIN7C,1.02 (1.01 1.03),1.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012837,0.032,RNAseq,INKA2,0.98 (0.97 0.99),1.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011366,0.049,RNAseq,DOCK4,0.98 (0.97 0.99),1.50E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008253,0.108,RNAseq,SPON2,1.02 (1.01 1.03),1.54E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007792,0.122,RNAseq,ZKSCAN5,1.02 (1.01 1.03),1.61E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011010,0.054,RNAseq,TRBV5-4,0.98 (0.97 0.99),1.61E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008970,0.090,RNAseq,JMY,0.98 (0.97 0.99),1.61E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009320,0.083,RNAseq,ARG2,1.02 (1.01 1.03),1.61E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010993,0.054,RNAseq,SNAP47,1.02 (1.01 1.03),1.66E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006277,0.188,RNAseq,PDIA6,0.98 (0.97 0.99),1.66E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014715,0.017,RNAseq,LAMTOR2,1.02 (1.01 1.03),1.66E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013640,0.025,RNAseq,FBXW7,0.98 (0.97 0.99),1.71E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013324,0.028,RNAseq,PRF1,0.98 (0.97 0.99),1.72E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003928,0.495,RNAseq,RNASET2,0.98 (0.97 0.99),1.72E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013277,0.028,RNAseq,TFAM,0.98 (0.97 0.99),1.73E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003980,0.470,RNAseq,BAK1,1.02 (1.01 1.03),1.77E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014949,0.016,RNAseq,ZNF436,1.02 (1.01 1.03),1.81E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009180,0.086,RNAseq,CNKSR1,1.02 (1.01 1.03),1.84E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007086,0.148,RNAseq,SRP14-AS1,0.98 (0.97 0.99),1.86E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004943,0.293,RNAseq,,1.02 (1.01 1.03),1.89E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014695,0.017,RNAseq,QPCTL,0.98 (0.97 0.99),1.94E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014434,0.019,RNAseq,CRB2,0.98 (0.97 0.99),1.94E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007784,0.123,RNAseq,CCDC9,0.98 (0.97 0.99),1.94E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009597,0.077,RNAseq,CLTB,0.98 (0.97 0.99),1.97E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005943,0.207,RNAseq,ERN1,0.98 (0.97 0.99),1.99E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014489,0.019,RNAseq,AP002381.2,1.02 (1.01 1.03),2.00E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008607,0.099,RNAseq,ZNF518B,0.98 (0.97 0.99),2.01E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011528,0.047,RNAseq,TRBC1,0.98 (0.97 0.99),2.04E-02
